district,crop,season,temperature,humidity,rainfall,demand,supply,price_per_kg
Coimbatore,Onion,Rainy,28.6,88,182.5,631,910,21.66
Sivaganga,Beans,Normal,30.4,68,18.8,530,481,36.6
Thoothukudi,Snake Gourd,Normal,31.3,64,33.4,426,381,25.61
Salem,Beans,Normal,29.0,69,24.9,635,536,39.91
Dharmapuri,Onion,Light Rain,27.6,76,59.7,796,803,27.08
Thanjavur,Tapioca,Normal,30.1,69,33.2,571,618,13.68
Thanjavur,Beans,Rainy,29.0,88,185.3,501,644,23.98
Ramanathapuram,Snake Gourd,Light Rain,26.0,72,62.1,343,359,21.22
Pudukottai,Banana,Rainy,29.6,94,189.2,648,907,19.04
Villupuram,Pumpkin,Light Rain,24.8,71,55.4,367,440,17.94
Kanchipuram,Tapioca,Summer,35.4,57,9.6,696,579,17.78
Thoothukudi,Pumpkin,Normal,33.9,68,34.8,450,368,20.36
Kanchipuram,Cauliflower,Rainy,26.8,84,192.8,450,557,22.11
Cuddalore,Okra,Summer,34.2,52,1.6,516,440,40.67
Coimbatore,Okra,Summer,38.4,53,5.5,499,402,38.3
Erode,Tomato,Normal,33.0,67,30.9,761,799,24.08
Cuddalore,Okra,Rainy,26.3,84,193.3,486,597,20.77
Villupuram,Pumpkin,Light Rain,25.6,77,57.7,435,438,17.72
Coimbatore,Coconut,Rainy,30.7,91,184.0,743,968,12.45
Thanjavur,Tomato,Normal,29.3,61,19.7,767,681,27.73
Thanjavur,Onion,Normal,30.0,61,37.1,735,693,34.42
Madurai,Banana,Summer,39.5,58,6.7,918,750,39.53
Sivaganga,Rice,Rainy,29.0,88,185.1,808,1129,33.62
Pudukottai,Groundnut,Summer,36.2,61,5.1,895,652,109.5
Vellore,Onion,Normal,30.6,60,23.5,795,700,30.95
Madurai,Banana,Light Rain,29.3,80,53.1,777,914,24.72
Erode,Tomato,Rainy,29.9,88,180.3,658,959,17.31
Tiruchirappalli,Groundnut,Normal,32.5,68,34.5,746,740,78.95
Dharmapuri,Carrot,Normal,32.6,61,35.2,544,570,37.9
Villupuram,Bitter Gourd,Light Rain,24.0,70,53.6,427,429,29.17
Erode,Coconut,Light Rain,28.8,70,69.7,733,916,16.78
Tiruppur,Banana,Rainy,29.9,93,187.6,757,963,20.35
Namakkal,Groundnut,Rainy,28.5,87,186.9,575,803,55.33
Namakkal,Coconut,Light Rain,25.7,77,67.8,795,920,16.46
Tiruchirappalli,Drumstick,Summer,37.1,56,0.0,562,392,63.5
Tiruvannamalai,Corn,Normal,30.7,59,22.9,680,615,25.47
Sivaganga,Tomato,Summer,35.7,61,7.5,815,649,32.5
Chennai,Onion,Light Rain,27.9,75,52.6,821,832,27.19
Cuddalore,Tapioca,Light Rain,24.0,75,68.2,629,681,11.74
Nagapattinam,Rice,Light Rain,25.7,79,59.9,959,990,42.96
Tiruvannamalai,Okra,Summer,36.9,58,2.8,479,320,39.66
Tiruppur,Okra,Light Rain,26.1,76,70.2,455,442,25.3
Villupuram,Tapioca,Light Rain,25.5,76,60.8,590,559,13.58
Tiruppur,Okra,Summer,37.1,62,0.0,475,330,41.52
Thoothukudi,Cashew,Normal,32.8,60,37.1,601,640,126.9
Namakkal,Drumstick,Light Rain,28.1,78,67.1,438,432,39.41
Nagapattinam,Rice,Normal,27.5,65,37.2,1056,1004,50.3
Madurai,Drumstick,Normal,32.1,60,32.4,502,463,48.66
Kanchipuram,Coconut,Normal,31.1,69,23.7,866,840,17.78
Pudukottai,Beans,Light Rain,26.1,77,63.8,520,527,31.45
Chennai,Beans,Rainy,25.5,88,198.7,424,556,24.33
Thiruvarur,Onion,Light Rain,24.7,76,61.2,718,828,30.2
Thanjavur,Tapioca,Rainy,26.9,91,189.1,556,749,9.28
Tiruvannamalai,Cauliflower,Rainy,31.0,88,187.2,395,610,19.69
Villupuram,Rice,Rainy,24.6,91,182.2,780,1233,31.22
Virudhunagar,Beans,Rainy,29.7,92,193.0,531,666,27.85
Villupuram,Pumpkin,Summer,35.4,53,11.1,438,345,28.91
Kanchipuram,Beans,Normal,30.4,64,30.5,537,605,37.52
Tiruvannamalai,Beans,Rainy,30.9,84,182.7,477,608,26.47
Pudukottai,Banana,Light Rain,27.3,76,72.0,828,917,24.33
Thiruvarur,Snake Gourd,Light Rain,23.7,70,59.9,365,399,23.37
Krishnagiri,Beans,Light Rain,26.2,76,62.9,501,521,33.38
Thiruvarur,Onion,Light Rain,26.6,76,61.8,768,752,28.98
Vellore,Groundnut,Rainy,29.1,92,189.5,631,888,52.07
Madurai,Drumstick,Normal,33.2,62,36.5,505,351,49.05
Sivaganga,Drumstick,Normal,29.0,60,28.4,456,469,47.1
Thanjavur,Onion,Normal,30.0,63,35.4,709,771,31.28
Tiruchirappalli,Okra,Normal,32.8,60,25.1,427,523,29.63
